Date,Rank,TRACK,Peak,Prev,Streak,Streams
2025-01-02,1,Jo Tum Mere Ho Anuv Jain,1,1,21,6734459
2025-01-02,2,"Ishq Hai Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",2,2,3,6681446
2025-01-02,3,"Raanjhan (From ""Do Patti"") Sachet-Parampara, Parampara Tandon, Kausar Munir",2,3,11,5670328
2025-01-02,4,"Die With A Smile Lady Gaga, Bruno Mars",4,4,14,5480132
2025-01-02,5,"Sahiba Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",5,6,6,5120142
2025-01-02,6,"Ishq Faheem Abdullah, Rauhan Malik, Amir Ameer",2,5,40,4720228
2025-01-02,7,Wavy Karan Aujla,4,7,7,4526435
2025-01-02,8,"Aaj Ki Raat (From ""Stree 2"") Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya",1,8,23,4404628
2025-01-02,9,Millionaire Yo Yo Honey Singh,3,10,18,4270616
2025-01-02,10,"Sajni (From ""Laapataa Ladies"") Ram Sampath, Arijit Singh, Prashant Pandey",1,9,35,3850295
2025-01-02,11,"Apna Bana Le Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",1,11,62,3674102
2025-01-02,12,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"") Aditya Rikhari, Tulsi Kumar, Lijo George-Dj Chetas",9,12,9,3648344
2025-01-02,13,"APT. ROSÉ, Bruno Mars",13,20,11,3414531
2025-01-02,14,"Payal Yo Yo Honey Singh, Paradox",14,17,6,3342763
2025-01-02,15,Russian Bandana Dhanda Nyoliwala,6,14,14,3334655
2025-01-02,16,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") Arijit Singh, Mithoon",2,16,292,3234963
2025-01-02,17,"Softly Karan Aujla, Ikky",4,19,72,3172926
2025-01-02,18,Husn Anuv Jain,1,15,57,2995142
2025-01-02,19,"Satranga (From ""ANIMAL"") Arijit Singh, Shreyas Puranik, Siddharth - Garima",2,21,62,2953604
2025-01-02,20,"Chuttamalle (From ""Devara Part 1"") Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry",4,18,22,2948251
2025-01-02,21,"Mera Mann Juss, MixSingh",12,13,4,2944087
2025-01-02,22,Tauba Tauba Karan Aujla,1,26,26,2857867
2025-01-02,23,"Tum Se Hi Pritam, Mohit Chauhan, Irshad Kamil",14,23,247,2817661
2025-01-02,24,"Aayi Nai (From ""Stree 2"") Sachin-Jigar, Pawan Singh, Simran Choudhary, Divya Kumar, Amitabh Bhattacharya",2,28,21,2786079
2025-01-02,25,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"") Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel",10,30,45,2725997
2025-01-02,26,"Ye Tune Kya Kiya Pritam, Javed Bashir",26,29,39,2707986
2025-01-02,27,"Naina (From ""Crew"") Diljit Dosanjh, Badshah, Raj Ranjodh",3,22,43,2689817
2025-01-02,28,"Pehle Bhi Main Vishal Mishra, Raj Shekhar",1,25,57,2681949
2025-01-02,29,"Dekhha Tenu (From ""Mr. And Mrs. Mahi"") Mohammad Faiz, Jaani",2,37,33,2599256
2025-01-02,30,"Ajab Si Vishal-Shekhar, KK",24,24,124,2586529
2025-01-02,31,Born to Shine Diljit Dosanjh,14,31,44,2569610
2025-01-02,32,"Aaye Haaye (Feat. Nora Fatehi) Karan Aujla, Neha Kakkar, Jay Trak",32,34,4,2567913
2025-01-02,33,blue yung kai,33,53,4,2566146
2025-01-02,34,"Humdard (From ""Ek Villain"") Arijit Singh",24,27,134,2559212
2025-01-02,35,"Victory Anthem Khushi TDT, Lash curry, Audiocrackerr",17,32,8,2493665
2025-01-02,36,"Sang Rahiyo (feat. Ujjwal Kashyap) Jasleen Royal, Ujjwal Kashyap",21,36,42,2474947
