Date,Rank,TRACK,Peak,Prev,Streak,Streams
2025-01-02,"1
 – ","Jo Tum Mere Ho
Anuv Jain",1,1,21,"6,734,459"
2025-01-02,"2
 – ","Ishq Hai
Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",2,2,3,"6,681,446"
2025-01-02,"3
 – ","Raanjhan (From ""Do Patti"")
Sachet-Parampara, Parampara Tandon, Kausar Munir",2,3,11,"5,670,328"
2025-01-02,"4
 – ","Die With A Smile
Lady Gaga, Bruno Mars",4,4,14,"5,480,132"
2025-01-02,"5
1","Sahiba
Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",5,6,6,"5,120,142"
2025-01-02,"6
1","Ishq
Faheem Abdullah, Rauhan Malik, Amir Ameer",2,5,40,"4,720,228"
2025-01-02,"7
 – ","Wavy
Karan Aujla",4,7,7,"4,526,435"
2025-01-02,"8
 – ","Aaj Ki Raat (From ""Stree 2"")
Sachin-Jigar, Madhubanti Bagchi, Divya Kumar, Amitabh Bhattacharya",1,8,23,"4,404,628"
2025-01-02,"9
1","Millionaire
Yo Yo Honey Singh",3,10,18,"4,270,616"
2025-01-02,"10
1","Sajni (From ""Laapataa Ladies"")
Ram Sampath, Arijit Singh, Prashant Pandey",1,9,35,"3,850,295"
2025-01-02,"11
 – ","Apna Bana Le
Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",1,11,62,"3,674,102"
2025-01-02,"12
 – ","Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")
Aditya Rikhari, Tulsi Kumar, Lijo George-Dj Chetas",9,12,9,"3,648,344"
2025-01-02,"13
7","APT.
ROSÉ, Bruno Mars",13,20,11,"3,414,531"
2025-01-02,"14
3","Payal
Yo Yo Honey Singh, Paradox",14,17,6,"3,342,763"
2025-01-02,"15
1","Russian Bandana
Dhanda Nyoliwala",6,14,14,"3,334,655"
2025-01-02,"16
 – ","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")
Arijit Singh, Mithoon",2,16,292,"3,234,963"
2025-01-02,"17
2","Softly
Karan Aujla, Ikky",4,19,72,"3,172,926"
2025-01-02,"18
3","Husn
Anuv Jain",1,15,57,"2,995,142"
2025-01-02,"19
2","Satranga (From ""ANIMAL"")
Arijit Singh, Shreyas Puranik, Siddharth - Garima",2,21,62,"2,953,604"
2025-01-02,"20
2","Chuttamalle (From ""Devara Part 1"")
Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry",4,18,22,"2,948,251"
2025-01-02,"21
8","Mera Mann
Juss, MixSingh",12,13,4,"2,944,087"
2025-01-02,"22
4","Tauba Tauba
Karan Aujla",1,26,26,"2,857,867"
2025-01-02,"23
 – ","Tum Se Hi
Pritam, Mohit Chauhan, Irshad Kamil",14,23,247,"2,817,661"
2025-01-02,"24
4","Aayi Nai (From ""Stree 2"")
Sachin-Jigar, Pawan Singh, Simran Choudhary, Divya Kumar, Amitabh Bhattacharya",2,28,21,"2,786,079"
2025-01-02,"25
5","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")
Sachin-Jigar, Raghav Chaitanya, Varun Jain, Indraneel",10,30,45,"2,725,997"
2025-01-02,"26
3","Ye Tune Kya Kiya
Pritam, Javed Bashir",26,29,39,"2,707,986"
2025-01-02,"27
5","Naina (From ""Crew"")
Diljit Dosanjh, Badshah, Raj Ranjodh",3,22,43,"2,689,817"
2025-01-02,"28
3","Pehle Bhi Main
Vishal Mishra, Raj Shekhar",1,25,57,"2,681,949"
2025-01-02,"29
8","Dekhha Tenu (From ""Mr. And Mrs. Mahi"")
Mohammad Faiz, Jaani",2,37,33,"2,599,256"
2025-01-02,"30
6","Ajab Si
Vishal-Shekhar, KK",24,24,124,"2,586,529"
2025-01-02,"31
 – ","Born to Shine
Diljit Dosanjh",14,31,44,"2,569,610"
